date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:58	67/67	---MC-	200	added ('OK')	text/plain	date:Sun,%2005%20Aug%202018%2003:47:07%20GMT	http://musicforgood.tv/robots.txt		(from )
11:46:59	97713/97713	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2003:47:08%20GMT	http://musicforgood.tv/	E:/websiteClone/rubymix/musicforgood.tv/index.html	(from )
11:46:59	845/845	---M--	200	added ('OK')	text/css	etag:%224da12f3-34d-56cc17d2ad400%22	http://musicforgood.tv/wp-content/themes/bugis/print.css	E:/websiteClone/rubymix/musicforgood.tv/wp-content/themes/bugis/print.css	(from http://musicforgood.tv/)
11:46:59	51912/51912	---M--	200	added ('OK')	text/css	etag:%224da12fb-cac8-56cc121234200%22	http://musicforgood.tv/wp-content/themes/bugis/style.css	E:/websiteClone/rubymix/musicforgood.tv/wp-content/themes/bugis/style.css	(from http://musicforgood.tv/)
11:47:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2005%20Aug%202018%2003:47:09%20GMT	http://musicforgood.tv/xmlrpc.php	E:/websiteClone/rubymix/musicforgood.tv/xmlrpc.php	(from http://musicforgood.tv/)
11:47:00	204/204	---M--	200	added ('OK')	text/css	etag:%224da12d5-cc-56cc134cea880%22	http://musicforgood.tv/wp-content/plugins/jetpack/modules/widgets/widgets.css?ver=20121003	E:/websiteClone/rubymix/musicforgood.tv/wp-content/plugins/jetpack/modules/widgets/widgets4627.css	(from http://musicforgood.tv/)
11:47:01	11287/11287	---M--	200	added ('OK')	text/css	etag:%224da1258-2c17-56cc12d5b4f40%22	http://musicforgood.tv/wp-content/plugins/jetpack/modules/sharedaddy/sharing.css?ver=2.3.1	E:/websiteClone/rubymix/musicforgood.tv/wp-content/plugins/jetpack/modules/sharedaddy/sharing254d.css	(from http://musicforgood.tv/)
11:47:02	1716/1716	---MC-	200	added ('OK')	application/rss+xml	etag:%22ea18fe8065553af2b7b623bd06526651%22	http://musicforgood.tv/comments/feed/	E:/websiteClone/rubymix/musicforgood.tv/comments/feed/index.html	(from http://musicforgood.tv/)
11:47:02	43692/43692	---MC-	200	added ('OK')	application/rss+xml	etag:%221371c526ab5c4d84ddce051108748f36%22	http://musicforgood.tv/feed/	E:/websiteClone/rubymix/musicforgood.tv/feed/index.html	(from http://musicforgood.tv/)
11:47:04	238158/238158	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.6.4/jquery.js?ver=1.6.4	E:/websiteClone/rubymix/ajax.googleapis.com/ajax/libs/jquery/1.6.4/jquery2745.js	(from http://musicforgood.tv/)
